RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
122.175958,-49.190333,-,NGC2547,40,407,14.42,-,1.520,12.269,11.654,11.514,AAA,2.76,-,-,-,30.121,0.109,-,J11,2.628,-,-,I08,J10,0.888,0.8653,4955,0.678,0.4613,-3.129,-,-,-,-,08084224-4911252,3.695043658821294,-0.3360165453917333,-0.05158703422139897,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.182750,-49.369333,-,NGC2547,40,407,19.64,-,3.400,14.487,14.037,13.722,AAA,5.772,-,-,-,29.256,0.184,-,J11,0.283,-,-,I08,J10,0.322,0.4295,3559,0.0,0.03253,-2.842,-,-,-,-,08084386-4922097,3.551327988003846,-1.4877159367181463,-0.4921441283041691,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.192375,-49.273306,-,NGC2547,40,407,17.69,-,2.590,13.741,13.184,12.898,AAA,4.646,-,-,-,29.051,0.191,-,J11,7.592,-,-,I08,J10,0.553,0.5628,3849,0.524,0.08082,-3.442,-,-,-,-,08084618-4916240,3.585347911094591,-1.0924811538933707,-0.2572748686953017,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.239917,-49.190611,-,NGC2547,40,407,18.39,-,2.600,14.421,13.836,13.420,AAA,4.824,-,-,-,29.015,0.211,-,J11,11.564,-,-,I08,J10,0.419,0.4867,3692,0.312,0.04859,-3.257,-,-,-,-,08085758-4911261,3.5672616923538745,-1.3134531009369936,-0.3777859770337047,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.250917,-49.342583,-,NGC2547,40,407,14.55,-,1.070,12.566,12.003,11.870,AAA,2.534,-,-,-,30.327,0.076,-,J11,5.578,-,-,I08,J10,0.852,0.8299,4754,0.678,0.3734,-2.831,-,-,-,-,08090022-4920332,3.6770591773921613,-0.4278256863869405,-0.06956040523329989,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.280000,-49.320694,-,NGC2547,40,407,14.82,-,1.550,12.702,12.124,11.956,AAA,2.718,-,-,-,29.765,0.087,-,J11,5.264,-,-,I08,J10,0.826,0.8043,4609,0.638,0.3097,-3.312,-,-,-,-,08090720-4919144,3.6636067081245205,-0.5090587946432132,-0.0830199526796178,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.287917,-49.377972,-,NGC2547,40,407,18.15,-,2.840,13.862,13.245,12.951,AAA,5.053,-,-,-,29.521,0.111,-,J11,1.34,-,-,I08,J10,0.526,0.5462,3815,0.441,0.0728,-2.927,-,-,-,-,08090910-4922405,3.581494542290899,-1.1378686206869628,-0.2790142558462609,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.304833,-49.294028,-,NGC2547,40,407,20.14,-,3.130,15.326,14.737,14.506,AAA,5.488,-,-,-,28.794,0.246,-,J11,0.604,-,-,I08,J10,0.201,0.3409,3334,0.0,0.01644,-3.007,-,-,-,-,08091316-4917385,3.5229655954919865,-1.7840981867959684,-0.6968039425795111,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.307958,-49.221861,-,NGC2547,40,407,18.27,-,2.590,14.270,13.593,13.346,AAA,4.778,-,-,-,29.263,0.116,-,J11,1.101,-,-,I08,J10,0.437,0.4965,3713,0.312,0.05231,-3.041,-,-,-,-,08091391-4913186,3.569724949226159,-1.281415279972564,-0.3595185630295782,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
122.318542,-49.123306,-,NGC2547,40,407,17.37,-,2.600,13.375,12.748,12.501,AAA,4.723,-,-,-,29.439,0.123,-,J11,0.751,-,-,I08,J10,0.643,0.6249,3980,0.524,0.1147,-3.206,-,-,-,-,08091645-4907239,3.5998830720736876,-0.9404365820987324,-0.1917890270757779,7.6020599913279625,7.432,7.449,7.414,0.018000000000000682,0.01699999999999946,0.01699999999999946,7.432
